"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Persona 5 Royal","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","3/31/2020","3/31/2020","4/8/2020","RPG"
"Persona 5 Royal","","Nintendo Switch","Physical (New)","NA","No","No","Owned","Incomplete","$108.99","$20.00","","X","X","X","X","Purchase","","","","3/31/2020","10/21/2022","7/5/2024","RPG"
"Persona 5 Strikers","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Finished","","$70.00","","","","","","Purchase","","","8","2/20/2020","2/23/2021","2/16/2021","Action"
"Persona 5 Tactica","Deluxe","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$80.00","","","","","","Purchase","","11/16/2023","","","","11/15/2023","Turn-based Tactics"
"Persona 5: Dancing in Starlight","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","5/24/2018","12/4/2018","12/5/2018","Rhythm"
"Persona Dancing: Endless Night Collection","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","$35.34","$100.00","","","","","","Purchase","","","","5/24/2018","12/4/2018","12/5/2018","Compilation"
"Persona Q: Shadow of the Labyrinth","The Wild Cards Edition","Nintendo 3DS","Physical (Unassigned)","NA","No","No","Owned","Completionated","$37.19","","","","","","","Purchase","","","","6/5/2014","","4/29/2017","JRPG"
"Persona Q2: New Cinema Labyrinth","","Nintendo 3DS","Physical (New)","NA","No","No","Owned","Finished","$67.82","$70.00","","X","X","X","X","Purchase","","","","11/29/2018","6/4/2019","6/23/2019","JRPG"
"Phantom Brave: The Hermuda Triangle Remastered","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/26/2021","8/31/2021","2/22/2023","Tactical RPG"
"Phoenix Wright: Ace Attorney","","Nintendo Switch","Digital","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/12/2001","","1/1/2021","Visual Novel"
"Phoenix Wright: Ace Attorney","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","10/12/2001","12/9/2014","4/29/2017","Visual Novel"
"Phoenix Wright: Ace Attorney - Dual Destinies","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$5.00","","","","","","Purchase","","","","7/25/2013","","3/15/2022","Visual Novel"
"Phoenix Wright: Ace Attorney - Justice for All","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/22/2002","","1/1/2021","Visual Novel"
"Phoenix Wright: Ace Attorney - Justice for All","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/22/2002","12/9/2014","4/29/2017","Visual Novel"
"Phoenix Wright: Ace Attorney - Spirit of Justice","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$5.00","","","","","","Purchase","","","","6/9/2016","","3/15/2022","Visual Novel"
"Phoenix Wright: Ace Attorney - Trials and Tribulations","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/23/2004","","1/1/2021","Visual Novel"
