"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Marvel's Guardians of the Galaxy","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/26/2021","","2025-01-30","Action-adventure"
"MechWarrior 5: Mercenaries","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/10/2019","12/10/2019","2025-01-30","Vehicle-based Shooter"
"Mega Man (1987)","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","12/17/1987","","2017-04-26","Platformer"
"Mega Man (1987)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/1987","","2022-01-13","Platformer"
"Mega Man 10","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13",""
"Mega Man 11","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/2/2018","","2022-01-13","Platformer"
"Mega Man 2","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","12/24/1988","","2017-04-26","Platformer"
"Mega Man 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/24/1988","","2022-01-13","Platformer"
"Mega Man 2: The Power Fighters","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","6/30/1996","","2017-04-26","Fighting"
"Mega Man 3","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","9/28/1990","","2017-04-26","Platformer"
"Mega Man 3","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/1990","","2022-01-13","Platformer"
"Mega Man 4","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/6/1991","","2022-01-13","Platformer"
"Mega Man 4","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","12/6/1991","","2017-04-26","Platformer"
"Mega Man 5","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","12/4/1992","","2017-04-26","Platformer"
"Mega Man 5","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/4/1992","","2022-01-13","Platformer"
"Mega Man 6","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/5/1993","","2022-01-13","Platformer"
"Mega Man 6","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","11/5/1993","","2017-04-26","Platformer"
"Mega Man 7","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/24/1995","","2017-04-26","Platformer"
"Mega Man 7","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/24/1995","","2022-01-13","Platformer"
"Mega Man 8","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/1996","","2022-01-13","Platformer"
"Mega Man 8","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/1996","","2017-04-26","Platformer"
"Mega Man 9","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13",""
"Mega Man Anniversary Collection","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","6/22/2004","6/22/2004","2017-04-26","Compilation"
"Mega Man Battle & Chase","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/20/1997","","2017-04-26","Racing"
